User ID,Vehicle Model,Battery Capacity (kWh),Updated Battery Capacity (kWh),Battery Capacity with Degradation Min (kWh),Battery Capacity with Degradation Max (kWh),Charging Station ID,Charging Station Location,Region,Country,City Latitude,City Longitude,Charging Start Time,Charging End Time,Charging Date,Charging Starting Hour,Charging Ending Hour,Charging Duration (hours),Time of Day,Day of Week,Weekend,Holiday,Energy Consumed (kWh),Charging Rate (kW),State of Charge (Start %),State of Charge (End %),State of Charge Difference (%),State of Charge Category,Distance Driven (since last charge) (km),Temperature (°C),Charging Cost (USD),Vehicle Age (years),Charger Type,User Type,Is Energy Valid?,Is DC Fast Valid?
1,BMW i3,108.46300741284072,22.12491757951949,18.24023,40.943495000000006,391,Houston,Texas,United States,29.7589382,-95.3676974,2024-01-01 00:00:00,2024-01-01 00:39:00,2024-01-01,00:00:00,00:39:00,0.5913634253585007,Evening,Tuesday,No,Yes,60.71234573492677,36.3891805669814,29.371575979140047,86.11996244457839,56.748386465438344,Medium,293.6021106383279,-2.2511371912216975,13.087716791774506,2.0,DC Fast Charger,Commuter,No,Yes
2,Hyundai Kona,100.0,43.74157654648483,37.462327699999996,61.927521299999995,428,San Francisco,California,United States,37.7792588,-122.4193286,2024-01-01 01:00:00,2024-01-01 03:01:00,2024-01-01,01:00:00,03:01:00,3.133652052688084,Morning,Monday,No,Yes,12.339275203733752,30.67773493971444,10.115777641679946,84.66434362786444,74.5485659861845,High,112.11280368218186,-9.827207966456784,21.12844792913739,3.0,Level 1,Casual Driver,Yes,Yes
3,Chevy Bolt,75.0,59.04356144861528,58.2135,63.064625,181,San Francisco,California,United States,37.7792588,-122.4193286,2024-01-01 02:00:00,2024-01-01 04:48:00,2024-01-01,02:00:00,04:48:00,2.4526527258367823,Morning,Thursday,No,Yes,19.12887570011548,27.51359255877324,6.854604444398554,69.91761524016282,63.063010795764264,Medium,71.79925292594801,-6.109998979919883,35.66727042356739,2.0,Level 2,Commuter,Yes,Yes
4,Hyundai Kona,50.0,40.76931706442143,38.612,63.827999999999996,327,Houston,Texas,United States,29.7589382,-95.3676974,2024-01-01 03:00:00,2024-01-01 06:42:00,2024-01-01,03:00:00,06:42:00,1.266430804620451,Evening,Saturday,Yes,Yes,79.45782398845503,32.882869757386224,83.12000296074223,99.62432763119423,16.504324670452007,Low,199.5777845163286,3.5090628668685793,13.036238833914622,1.0,Level 1,Long-Distance Traveler,No,Yes
5,Hyundai Kona,50.0,40.76931706442143,38.612,63.827999999999996,108,Los Angeles,California,United States,34.0536909,-118.242766,2024-01-01 04:00:00,2024-01-01 05:46:00,2024-01-01,04:00:00,05:46:00,2.0197650865894614,Morning,Saturday,Yes,Yes,19.62910416772725,10.215712071204608,54.25894969116981,63.743786036169695,9.484836344999884,Low,203.66184655799864,-22.130110570694008,10.161471171031415,1.0,Level 1,Long-Distance Traveler,Yes,Yes
6,Nissan Leaf,50.0,24.0,24.0,62.0,335,San Francisco,California,United States,37.7792588,-122.4193286,2024-01-01 05:00:00,2024-01-01 07:10:00,2024-01-01,05:00:00,07:10:00,1.1676401541014236,Evening,Saturday,Yes,Yes,43.18113714248533,14.33452277611833,71.98228757123687,75.21774833696946,3.235460765732597,Low,143.68004610728445,-20.707898775845937,36.90034077796173,0.0,DC Fast Charger,Long-Distance Traveler,No,No
7,Chevy Bolt,85.0,58.09088577546551,56.4801930375,61.186875790625,162,Houston,Texas,United States,29.7589382,-95.3676974,2024-01-01 06:00:00,2024-01-01 07:53:00,2024-01-01,06:00:00,07:53:00,3.5396190263161467,Evening,Friday,No,Yes,36.862139988267536,26.18518786003352,60.75178075976676,70.79609690147149,10.044316141704726,Low,81.33800890802773,-2.4714807329631108,22.21422517569784,4.0,Level 2,Commuter,Yes,Yes
8,Chevy Bolt,75.0,60.0,60.0,65.0,302,Los Angeles,California,United States,34.0536909,-118.242766,2024-01-01 07:00:00,2024-01-01 10:42:00,2024-01-01,07:00:00,10:42:00,2.6553964456130235,Afternoon,Monday,No,Yes,51.46761685839947,26.7029077655282,56.201703032995454,63.786815331776616,7.585112298781162,Low,116.54316578116932,-20.231922036640405,9.796821321322032,0.0,Level 2,Long-Distance Traveler,Yes,Yes
9,Chevy Bolt,62.0,58.09088577546551,56.4801930375,61.186875790625,493,Los Angeles,California,United States,34.0536909,-118.242766,2024-01-01 08:00:00,2024-01-01 09:21:00,2024-01-01,08:00:00,09:21:00,1.724203599132774,Evening,Wednesday,No,Yes,43.59237228216989,14.294922926661108,33.46620026326066,92.96142090358896,59.4952206403283,Medium,208.25974249443672,-5.268496429557589,32.465005072088225,4.0,Level 1,Commuter,Yes,Yes
10,Hyundai Kona,50.0,43.49791706835408,37.55848765897685,62.086479599533156,452,Chicago,Illinois,United States,41.8755616,-87.6244212,2024-01-01 09:00:00,2024-01-01 12:44:00,2024-01-01,09:00:00,12:44:00,2.0268746909843576,Morning,Wednesday,No,Yes,78.86860745126785,11.76099971515701,27.399454625609152,70.05338137780706,42.653926752197904,Medium,54.00630919992556,-2.4933225752078236,21.312302451155745,2.830381306943589,DC Fast Charger,Commuter,No,No
11,BMW i3,50.0,23.70625244874004,17.966626549999997,40.329342575,206,Los Angeles,California,United States,34.0536909,-118.242766,2024-01-01 10:00:00,2024-01-01 13:59:00,2024-01-01,10:00:00,13:59:00,2.6486354477276968,Night,Thursday,No,Yes,18.20619747737872,10.310701112892176,76.08656557040186,82.2655816267944,6.179016056392541,Low,64.63464374887128,-17.499759130891402,38.221230704051806,3.0,DC Fast Charger,Casual Driver,Yes,No
12,Chevy Bolt,85.0,60.0,60.0,65.0,78,San Francisco,California,United States,37.7792588,-122.4193286,2024-01-01 11:00:00,2024-01-01 14:55:00,2024-01-01,11:00:00,14:55:00,2.0578886215204486,Evening,Sunday,Yes,Yes,22.564929484106763,4.46482262892762,14.618902372078484,85.85749415419053,71.23859178211205,High,194.76380668173772,1.2570062628846381,14.0508613520737,0.0,DC Fast Charger,Long-Distance Traveler,Yes,No
13,Hyundai Kona,100.0,39.2,39.2,64.8,16,San Francisco,California,United States,37.7792588,-122.4193286,2024-01-01 12:00:00,2024-01-01 13:00:00,2024-01-01,12:00:00,13:00:00,3.0655847520228034,Afternoon,Monday,No,Yes,34.256452908516025,5.523688619042968,19.20544694977322,51.62648272929986,32.42103577952664,Medium,249.12759651542487,-4.631685909811753,10.972135997218215,0.0,Level 2,Casual Driver,Yes,Yes
14,Nissan Leaf,75.0,42.063208649538275,21.59060714418452,55.77573512247668,327,Houston,Texas,United States,29.7589382,-95.3676974,2024-01-01 13:00:00,2024-01-01 15:54:00,2024-01-01,13:00:00,15:54:00,3.5909657181461028,Morning,Friday,No,Yes,16.56106432522506,19.76909871755716,25.775415389763285,69.2012290988145,43.42581370905121,Medium,159.2316102189639,1.1724159103315381,37.44185660286842,7.0,Level 2,Commuter,Yes,Yes
15,BMW i3,85.0,25.235169165428594,17.69712715175,39.724402436375,96,Houston,Texas,United States,29.7589382,-95.3676974,2024-01-01 14:00:00,2024-01-01 17:32:00,2024-01-01,14:00:00,17:32:00,3.4218093378407497,Afternoon,Monday,No,Yes,12.927545290947553,24.21115011711917,63.70663794066834,71.68354383511853,7.976905894450191,Low,155.36060543681995,4.169692048699519,18.552815677456245,4.0,Level 1,Casual Driver,Yes,Yes
16,Nissan Leaf,100.0,28.326161170067387,23.449539528574462,60.577977115484025,147,Los Angeles,California,United States,34.0536909,-118.242766,2024-01-01 15:00:00,2024-01-01 17:19:00,2024-01-01,15:00:00,17:19:00,2.703286127534274,Evening,Monday,No,Yes,27.354317884610715,11.112498841670842,10.677153729384765,72.40347015226732,61.726316422882554,Medium,247.6594369214761,-22.390076055070388,33.093492711055774,1.5352340877952697,DC Fast Charger,Long-Distance Traveler,Yes,No
17,BMW i3,97.681812229825,29.519454768872905,16.91264226294454,37.96348422852445,2,New York,New York,United States,40.7128,-74.006,2024-01-01 16:00:00,2024-01-01 18:02:00,2024-01-01,16:00:00,18:02:00,3.4586802787724484,Evening,Thursday,No,Yes,24.726937680708804,49.40273861566977,67.59197091077596,89.94222936485875,22.35025845408279,Low,237.3064209427689,-15.324816878444189,17.49480846107398,7.0,DC Fast Charger,Commuter,Yes,No
18,Hyundai Kona,50.0,47.80348348714059,35.801683589341515,59.182374912993104,10,Chicago,Illinois,United States,41.8755616,-87.6244212,2024-01-01 17:00:00,2024-01-01 20:13:00,2024-01-01,17:00:00,20:13:00,0.8482182678183041,Evening,Friday,No,Yes,23.824040473705303,6.614280124746195,57.59519511951953,74.96195034708379,17.366755227564255,Low,22.00682916343814,-7.552383860967022,6.430589211997161,6.0,Level 2,Casual Driver,Yes,Yes
19,Tesla Model 3,100.0,50.0,50.0,82.0,434,New York,New York,United States,40.7128,-74.006,2024-01-01 18:00:00,2024-01-01 21:03:00,2024-01-01,18:00:00,21:03:00,0.8075321582617996,Evening,Saturday,Yes,Yes,42.63801819167288,20.49084604597367,52.7134886858277,55.51705087402344,2.803562188195741,Low,280.8620709755801,3.0168647401416653,25.0787937101842,0.0,Level 1,Long-Distance Traveler,Yes,Yes
20,BMW i3,50.0,23.70625244874004,17.966626549999997,40.329342575,125,Los Angeles,California,United States,34.0536909,-118.242766,2024-01-01 19:00:00,2024-01-01 20:22:00,2024-01-01,19:00:00,20:22:00,2.5809253540076567,Morning,Wednesday,No,Yes,48.48248430757049,45.29143534649799,12.754877571721774,100.0,87.24512242827822,High,243.25576946966927,-12.665327837823993,7.090844200594135,3.0,Level 2,Long-Distance Traveler,No,Yes
21,Nissan Leaf,50.0,32.256879006500924,22.936118999999998,59.25164074999999,81,Los Angeles,California,United States,34.0536909,-118.242766,2024-01-01 20:00:00,2024-01-01 22:54:00,2024-01-01,20:00:00,22:54:00,3.16887289218907,Night,Tuesday,No,Yes,50.27906667357191,30.489960233968677,16.545512365179043,77.93632713949575,61.3908147743167,Medium,15.420444595980063,1.1001722794772522,28.872894608008124,3.0,Level 2,Casual Driver,No,Yes
22,Hyundai Kona,62.0,46.50069391286708,36.3468868927325,60.083629353292494,485,New York,New York,United States,40.7128,-74.006,2024-01-01 21:00:00,2024-01-01 22:55:00,2024-01-01,21:00:00,22:55:00,2.9317614950957465,Evening,Sunday,Yes,Yes,59.1350316162392,25.603799331857445,71.5303121297424,75.97435158703122,4.444039457288824,Low,219.6263569214341,-19.308371850941665,34.85323440188442,5.0,Level 1,Commuter,No,Yes
23,BMW i3,75.0,25.621178028007343,17.628271644506043,39.569843797774205,140,Chicago,Illinois,United States,41.8755616,-87.6244212,2024-01-01 22:00:00,2024-01-02 01:02:00,2024-01-01,22:00:00,01:02:00,2.5628173042684104,Afternoon,Saturday,Yes,Yes,49.19642958971384,19.194882837079632,49.02423910950519,64.48187393759193,15.45763482808674,Low,298.18812231836336,4.421631842651124,14.856131218606723,4.257936702758294,DC Fast Charger,Long-Distance Traveler,No,No
24,Tesla Model 3,100.0,59.053083893449475,46.36082511828125,76.03175319398125,326,New York,New York,United States,40.7128,-74.006,2024-01-01 23:00:00,2024-01-01 23:31:00,2024-01-01,23:00:00,23:31:00,2.0714292092234388,Morning,Friday,No,Yes,68.44712632026376,49.71030696901287,19.23313912730544,74.00615088095063,54.77301175364519,Medium,280.91546822652094,-15.788422247833276,38.40606169605943,5.0,DC Fast Charger,Commuter,No,No
25,Tesla Model 3,100.0,57.37526105422927,47.06682753125,77.18959715125,150,Houston,Texas,United States,29.7589382,-95.3676974,2024-01-02 00:00:00,2024-01-02 01:55:00,2024-01-02,00:00:00,01:55:00,0.9571376601264636,Morning,Wednesday,No,No,27.60438468247694,11.238538626794044,65.35209627449626,65.48688658113335,0.13479030663708613,Low,173.47152650529225,2.2099010655824753,24.03753468851581,4.0,Level 1,Long-Distance Traveler,Yes,Yes
26,Chevy Bolt,75.0,59.52135098914481,59.1,64.025,288,San Francisco,California,United States,37.7792588,-122.4193286,2024-01-02 01:00:00,2024-01-02 03:42:00,2024-01-02,01:00:00,03:42:00,3.604173535372616,Morning,Saturday,Yes,No,40.178003499947216,12.31861479590845,79.99556313119572,80.34408372714871,0.3485205959529907,Low,82.75461394014503,-5.812864462024916,38.76319382514176,1.0,DC Fast Charger,Commuter,Yes,No
27,Chevy Bolt,75.0,59.82701083594459,59.673335974473545,64.64611397234634,361,Houston,Texas,United States,29.7589382,-95.3676974,2024-01-02 02:00:00,2024-01-02 02:33:00,2024-01-02,02:00:00,02:33:00,3.652540335433942,Afternoon,Thursday,No,No,43.487751224792326,36.18237188372349,87.82402899882813,88.74847907153811,0.9244500727099876,Low,80.91266512306521,-1.1821056260769482,27.44831088430594,0.3612151658030595,Level 1,Commuter,Yes,Yes
28,Nissan Leaf,50.0,24.0,24.0,62.0,340,San Francisco,California,United States,37.7792588,-122.4193286,2024-01-02 03:00:00,2024-01-02 06:13:00,2024-01-02,03:00:00,06:13:00,1.547713717696371,Night,Sunday,Yes,No,10.338517723856468,45.7767311942711,94.50485176968456,98.3327953116332,3.827943541948642,Low,162.6865443608225,-14.719578484232974,9.855826892937216,0.0,Level 1,Long-Distance Traveler,Yes,Yes
29,BMW i3,75.0,23.70625244874004,17.966626549999997,40.329342575,129,Los Angeles,California,United States,34.0536909,-118.242766,2024-01-02 04:00:00,2024-01-02 04:35:00,2024-01-02,04:00:00,04:35:00,2.4396779381538938,Afternoon,Friday,No,No,31.68448458657448,48.64872319079225,34.72763909597674,54.40205038521579,19.674411289239046,Low,152.25986699080715,-6.456354272069817,25.617103995808733,3.0,Level 2,Casual Driver,No,Yes
30,BMW i3,75.0,18.8,18.8,42.2,438,Chicago,Illinois,United States,41.8755616,-87.6244212,2024-01-02 05:00:00,2024-01-02 07:58:00,2024-01-02,05:00:00,07:58:00,3.153257254972797,Afternoon,Friday,No,No,56.59325685914933,45.81173100244055,29.207671702279008,85.00810624066354,55.80043453838453,Medium,186.15573210131024,-10.92588034785052,33.13209178024766,0.0,DC Fast Charger,Casual Driver,No,No
31,Chevy Bolt,100.0,59.04356144861528,58.2135,63.064625,239,New York,New York,United States,40.7128,-74.006,2024-01-02 06:00:00,2024-01-02 09:54:00,2024-01-02,06:00:00,09:54:00,1.435532787267766,Afternoon,Wednesday,No,No,19.473800595427143,7.043936342279247,31.320786979519863,78.05665281794616,46.73586583842629,Medium,152.25986699080715,-13.137274401925106,36.945272915195176,2.0,DC Fast Charger,Casual Driver,Yes,No
32,BMW i3,100.0,28.140590409888617,17.170195190806645,38.54160835383193,58,Chicago,Illinois,United States,41.8755616,-87.6244212,2024-01-02 07:00:00,2024-01-02 09:27:00,2024-01-02,07:00:00,09:27:00,2.0076640542660726,Evening,Wednesday,No,No,38.28919933554271,12.064391459035129,65.61730718592959,75.6447784790562,10.02747129312661,Low,238.9093109631085,-16.514909499459968,17.011782945517666,6.0,Level 1,Commuter,No,Yes
33,BMW i3,100.0,20.48992262919771,18.518,41.567,198,New York,New York,United States,40.7128,-74.006,2024-01-02 08:00:00,2024-01-02 09:58:00,2024-01-02,08:00:00,09:58:00,1.306927271746284,Evening,Monday,No,No,16.136238725396332,21.517815048554308,23.603991432132744,88.2000728013921,64.59608136925935,Medium,35.50388319357353,4.102229952967594,26.438194237490425,1.0,Level 2,Casual Driver,Yes,Yes
34,Tesla Model 3,62.0,51.94664633052678,49.25,80.77,211,Houston,Texas,United States,29.7589382,-95.3676974,2024-01-02 09:00:00,2024-01-02 12:03:00,2024-01-02,09:00:00,12:03:00,0.9991001884039166,Afternoon,Monday,No,No,60.06708508895625,7.651570046980447,22.881466625938916,51.43427868199236,28.552812056053444,Low,46.35755886056615,-10.004668064885006,18.034390040505443,1.0,Level 2,Casual Driver,No,Yes
35,Chevy Bolt,75.0,59.13466644933452,58.3816354417512,63.2467717285638,402,Houston,Texas,United States,29.7589382,-95.3676974,2024-01-02 10:00:00,2024-01-02 13:32:00,2024-01-02,10:00:00,13:32:00,1.8735815970397776,Afternoon,Friday,No,No,57.72437946101146,4.48564710517362,41.87247964240577,79.64797277486439,37.775493132458614,Medium,157.61465400806637,-1.9834403463515018,35.50300017025295,1.8091728675018728,DC Fast Charger,Long-Distance Traveler,Yes,No
36,Hyundai Kona,75.0,45.14713960288341,36.9003927845,60.998608480499996,390,New York,New York,United States,40.7128,-74.006,2024-01-02 11:00:00,2024-01-02 14:16:00,2024-01-02,11:00:00,14:16:00,2.8916769844807484,Evening,Tuesday,No,No,37.37451606078376,18.865801960923783,24.49220858439769,73.38017572592224,48.887967141524555,Medium,76.20353921863803,15.517763258872792,29.86624992587584,4.0,Level 1,Commuter,Yes,Yes
37,Chevy Bolt,75.0,59.52135098914481,59.1,64.025,45,Chicago,Illinois,United States,41.8755616,-87.6244212,2024-01-02 12:00:00,2024-01-02 15:10:00,2024-01-02,12:00:00,15:10:00,3.470003433537161,Evening,Thursday,No,No,39.940563619980615,28.62519932675557,50.403654740892144,85.85755579960261,35.453901058710464,Medium,102.43030218211146,-0.2992727684363001,15.85532743055342,1.0,DC Fast Charger,Casual Driver,Yes,No
38,Hyundai Kona,75.0,47.80348348714059,35.801683589341515,59.182374912993104,97,New York,New York,United States,40.7128,-74.006,2024-01-02 13:00:00,2024-01-02 13:43:00,2024-01-02,13:00:00,13:43:00,1.0404523051899732,Night,Wednesday,No,No,73.38661952275571,38.45083190087793,49.27538752823665,94.59708190417813,45.321694375941476,Medium,42.09574394400221,1.0719835403964555,15.882703983823514,6.0,DC Fast Charger,Long-Distance Traveler,No,No
39,Tesla Model 3,85.0,62.22051702857705,44.98043155038442,73.76790774263044,279,Los Angeles,California,United States,34.0536909,-118.242766,2024-01-02 14:00:00,2024-01-02 15:25:00,2024-01-02,14:00:00,15:25:00,1.2804107080349374,Afternoon,Monday,No,No,61.52075986084904,12.510248962442,79.3884433831648,87.98462138000619,8.59617799684139,Low,141.24375349788664,-14.577194070257471,26.50571298106416,7.0,Level 2,Commuter,Yes,Yes
40,Nissan Leaf,100.0,29.593867009476092,23.2854,60.15395,23,Houston,Texas,United States,29.7589382,-95.3676974,2024-01-02 15:00:00,2024-01-02 16:50:00,2024-01-02,15:00:00,16:50:00,3.2424460582484915,Morning,Thursday,No,No,68.17785003637414,23.31161908295264,17.040420024456118,56.07865100803714,39.03823098358102,Medium,130.37601376208403,-19.5508085364702,8.498571936835022,2.0,Level 2,Long-Distance Traveler,No,Yes
